anio,debito_total,ied_utilidades_dividendos,intereses_otra_inversion,credito_total,balance_neto,nota
2016,10464,9922,176,3528,-6936,
2017,15404,14390,248,4648,-10756,
2018,17493,16924,326,5332,-12162,
2019,16461,16070,413,6050,-10411,
2020,16351,15859,425,486,-15865,crédito cae a 486 (pandemia)
2021,24272,22740,398,6325,-17947,
2022,24461,21142,1250,9784,-14677,
2023,22029,17789,2410,7795,-14233,
2024,23350,18948,2628,7959,-15392,"= 7,1 % del PIB 2024 (US$ 330.124 M, Anuario CEPAL)"
2025,27194,22870,2216,7841,-19353,máximo de la serie
2026,8071,7021,489,2072,-5999,solo trimestre 1
